Ticker
MMM
AOS
ABT
ABBV
ACN
ADBE
AMD
AES
AFL
A
APD
ABNB
AKAM
ALB
ARE
ALGN
ALLE
LNT
ALL
GOOG
GOOGL
MO
AMZN
AMCR
AMD
AIG
AMT
AWK
AMP

AME
AMGN
APH
ADI
ANSS

AON
APA
AAPL
AMAT
APTV
ADM

ARW
ASML
AVB
AVY
BKR
BALL
BAC
BAX


BBY
BIO
BIIB
BLK
BWA
BXP
BSX
BMY
AVGO
BR
BF-B
CHRW
COF
CHTR
CVX
CMG
CB
CHD
CI
CINF
CTAS
CSCO
C
CFG

CLX
CME
CMS
KO
CTSH
CL
CMCSA
CMA
CAG
COP
ED
STZ
CPRT
GLW
COST
COTY
CCI
CSX
